query_strategy,round,queried_total,total_labeled,pool_remaining,queried_Standard,queried_Undercut,queried_Emergency,queried_Overcut,accuracy,macro_precision,macro_recall,macro_f1
least_confidence,0,0,668,7524,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
least_confidence,1,20,688,7504,8,3,8,1,0.8690476190476191,0.825134770889488,0.882183908045977,0.8488515988515988
least_confidence,2,20,708,7484,12,4,3,1,0.8571428571428571,0.823489010989011,0.8778735632183907,0.8431620553359684
least_confidence,3,20,728,7464,9,6,1,4,0.8690476190476191,0.8376319758672701,0.9056513409961686,0.8606039755351682
least_confidence,4,20,748,7444,11,1,5,3,0.8452380952380952,0.8160633484162896,0.8735632183908045,0.8351834862385321
least_confidence,5,20,768,7424,12,1,4,3,0.8452380952380952,0.8160633484162896,0.8735632183908045,0.8351834862385321
least_confidence,6,20,788,7404,13,4,3,0,0.8333333333333334,0.8095192307692307,0.8692528735632183,0.8275925925925925
least_confidence,7,20,808,7384,10,5,2,3,0.8928571428571429,0.8592006033182504,0.9377394636015326,0.8860244648318043
least_confidence,8,20,828,7364,9,4,4,3,0.8928571428571429,0.8655660377358491,0.914272030651341,0.881903642773208
margin,0,0,668,7524,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
margin,1,20,688,7504,12,6,2,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
margin,2,20,708,7484,13,4,2,1,0.8690476190476191,0.8320029027576199,0.882183908045977,0.8515888615888616
margin,3,20,728,7464,12,2,4,2,0.8928571428571429,0.8534965034965034,0.8908045977011494,0.8700884955752213
margin,4,20,748,7444,16,2,1,1,0.8809523809523809,0.8115773115773117,0.8864942528735632,0.8449512987012987
margin,5,20,768,7424,12,5,2,1,0.8809523809523809,0.8367604617604617,0.8864942528735632,0.8584478021978021
margin,6,20,788,7404,12,1,4,3,0.8809523809523809,0.8392857142857143,0.9099616858237547,0.8671328671328671
margin,7,20,808,7384,17,3,0,0,0.9166666666666666,0.8807692307692307,0.9228927203065134,0.8995132743362831
margin,8,20,828,7364,15,1,3,1,0.9166666666666666,0.8807692307692307,0.9228927203065134,0.8995132743362831
entropy,0,0,668,7524,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
entropy,1,20,688,7504,9,3,6,2,0.8452380952380952,0.7732977806507219,0.8735632183908045,0.8145890806441265
entropy,2,20,708,7484,9,5,3,3,0.8571428571428571,0.8152472527472528,0.8778735632183907,0.83986013986014
entropy,3,20,728,7464,16,0,2,2,0.8571428571428571,0.8152472527472528,0.8778735632183907,0.83986013986014
entropy,4,20,748,7444,7,1,9,3,0.8571428571428571,0.8301442307692308,0.9013409961685823,0.8522222222222222
entropy,5,20,768,7424,10,4,3,3,0.8571428571428571,0.8301442307692308,0.9013409961685823,0.8522222222222222
entropy,6,20,788,7404,12,4,3,1,0.8571428571428571,0.8301442307692308,0.9013409961685823,0.8522222222222222
entropy,7,20,808,7384,9,4,6,1,0.8690476190476191,0.8376319758672701,0.9056513409961686,0.8606039755351682
entropy,8,20,828,7364,13,3,0,4,0.8214285714285714,0.7573129251700681,0.8649425287356322,0.7979952290699954
