row_id,raceId,driverId,constructorId,circuitId,year,round,race_name,circuit_name,constructor_name,date,stop_number,pit_lap,stop_duration_ms,pit_lap_time_ms,grid,current_position,positionOrder,driver_points_before,constructor_points_before,lap_time_delta,recent_pace_delta,laps_since_last_pit,race_total_laps,laps_remaining,race_progress,approx_gap_ahead,approx_gap_behind,pressure_index,position_change_from_grid,safety_car_likely,strategy
1,900,3,131,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Mercedes,2014-03-16,2,38,23673,115194,3,1,1,0.0,0.0,22716.0,2067.0,26.0,57,19,0.6666666666666666,,23.472,,2,0,Standard
4,900,8,6,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ferrari,2014-03-16,1,12,25543,145964,11,8,7,0.0,0.0,50832.0,1649.6666666666715,12.0,57,45,0.21052631578947367,1.939,6.273,0.47774663026523034,3,1,Emergency
12,900,807,10,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Force India,2014-03-16,2,33,22933,115326,7,8,6,0.0,0.0,20638.0,1325.6666666666715,21.0,57,24,0.5789473684210527,10.492,2.456,0.37636890719469906,-1,0,Standard
19,900,818,5,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Toro Rosso,2014-03-16,1,12,23124,143494,6,7,8,0.0,0.0,47696.0,699.6666666666715,12.0,57,45,0.21052631578947367,0.03,1.939,1.3111255727296451,-1,1,Emergency
30,900,825,1,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,McLaren,2014-03-16,2,37,22273,112635,4,2,2,0.0,0.0,18600.0,840.6666666666715,25.0,57,20,0.6491228070175439,41.813,2.184,0.3374277432053172,2,0,Standard
31,900,826,5,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Toro Rosso,2014-03-16,1,12,30514,150844,8,9,9,0.0,0.0,55153.0,791.3333333333285,12.0,57,45,0.21052631578947367,6.273,4.507,0.3190819149438969,-1,1,Emergency
45,901,8,6,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Ferrari,2014-03-30,3,34,24246,113476,6,14,12,6.0,18.0,6724.0,1523.0,16.0,56,22,0.6071428571428571,8.81,8.169,0.21099994674694425,-8,0,Standard
50,901,16,15,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Sauber,2014-03-30,2,24,25493,113582,17,12,18,0.0,0.0,5241.0,1147.6666666666715,13.0,56,32,0.42857142857142855,10.711,3.439,0.31066576751208985,5,0,Standard
64,901,817,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,1,12,24709,112315,5,4,16,0.0,0.0,4188.0,594.3333333333285,12.0,56,44,0.21428571428571427,6.077,0.773,0.7053186043681456,1,0,Standard
71,901,820,206,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Marussia,2014-03-30,1,10,25639,115361,21,16,15,0.0,0.0,4876.0,490.3333333333285,10.0,56,46,0.17857142857142858,6.761,12.386,0.20355429066397623,5,0,Standard
