threshold,round,pool_remaining,added_total,total_labeled,added_Standard,added_Undercut,added_Emergency,added_Overcut,accuracy,macro_precision,macro_recall,macro_f1
0.55,0,7524,0,668,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
0.55,1,241,7283,7951,4911,1114,807,451,0.8333333333333334,0.7645833333333334,0.89272030651341,0.8123094149037545
0.55,2,25,216,8167,39,70,61,46,0.8214285714285714,0.7518617021276596,0.8884099616858238,0.8016774891774892
0.55,3,12,13,8180,2,4,6,1,0.8095238095238095,0.7443387681159421,0.8840996168582376,0.7930969030969032
0.6,0,7524,0,668,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
0.6,1,410,7114,7782,4829,1087,778,420,0.8214285714285714,0.7518617021276596,0.8884099616858238,0.8016774891774892
0.6,2,74,336,8118,58,96,99,83,0.8214285714285714,0.7518617021276596,0.8884099616858238,0.8016774891774892
0.6,3,46,28,8146,5,7,8,8,0.8214285714285714,0.7518617021276596,0.8884099616858238,0.8016774891774892
0.75,0,7524,0,668,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
0.75,1,1010,6514,7182,4527,968,664,355,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.75,2,444,566,7748,145,167,144,110,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.75,3,310,134,7882,27,39,37,31,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.75,4,259,51,7933,15,12,15,9,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.75,5,233,26,7959,6,4,14,2,0.8214285714285714,0.7286499215070643,0.8649425287356322,0.7818724629472293
0.85,0,7524,0,668,0,0,0,0,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
0.85,1,1526,5998,6666,4248,892,563,295,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.85,2,901,625,7291,180,164,169,112,0.8452380952380952,0.7731292517006803,0.8970306513409961,0.8212950307627268
0.85,3,728,173,7464,54,58,22,39,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.85,4,653,75,7539,19,23,11,22,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
0.85,5,610,43,7582,6,18,11,8,0.8333333333333334,0.7587179487179487,0.8692528735632183,0.8034511784511784
