row_id,raceId,driverId,constructorId,circuitId,year,round,race_name,circuit_name,constructor_name,date,stop_number,pit_lap,stop_duration_ms,pit_lap_time_ms,grid,current_position,positionOrder,driver_points_before,constructor_points_before,lap_time_delta,recent_pace_delta,laps_since_last_pit,race_total_laps,laps_remaining,race_progress,approx_gap_ahead,approx_gap_behind,pressure_index,position_change_from_grid,safety_car_likely
0,900,3,131,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Mercedes,2014-03-16,1,12,24331,134269,3,1,1,0.0,0.0,40052.0,371.6666666666715,12.0,57,45,0.21052631578947367,,8.677,,2,1
2,900,4,6,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ferrari,2014-03-16,1,12,22887,139525,5,5,4,0.0,0.0,43891.0,1387.3333333333285,12.0,57,45,0.21052631578947367,4.515,7.044,0.30563992330486944,0,1
3,900,4,6,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ferrari,2014-03-16,2,35,21978,112828,5,7,4,0.0,0.0,18751.0,1328.3333333333285,23.0,57,22,0.6140350877192983,7.735,3.526,0.33542761646061514,-2,0
5,900,8,6,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Ferrari,2014-03-16,2,36,21825,114280,11,9,7,0.0,0.0,19524.0,1759.6666666666715,24.0,57,21,0.631578947368421,0.938,3.522,0.7371369600471768,2,0
6,900,16,15,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sauber,2014-03-16,1,35,24305,118752,13,13,11,0.0,0.0,22233.0,742.6666666666715,35.0,57,22,0.6140350877192983,2.007,9.369,0.428998681605203,0,0
7,900,18,1,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,McLaren,2014-03-16,1,11,22411,117843,10,9,3,0.0,0.0,21864.0,258.6666666666715,11.0,57,46,0.19298245614035087,21.762,14.999,0.10643677706791917,1,0
8,900,18,1,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,McLaren,2014-03-16,2,32,22399,113971,10,10,3,0.0,0.0,19106.0,1066.0,21.0,57,25,0.5614035087719298,10.374,8.683,0.1911935959143462,0,0
9,900,154,208,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Lotus F1,2014-03-16,1,1,17255,130795,22,17,15,0.0,0.0,0.0,0.0,1.0,57,56,0.017543859649122806,5.275,25.912,0.19652069486619514,5,0
10,900,154,208,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Lotus F1,2014-03-16,2,28,22264,115731,22,15,15,0.0,0.0,19158.0,297.0,27.0,57,29,0.49122807017543857,8.891,27.746,0.13588946061855062,7,0
11,900,807,10,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Force India,2014-03-16,1,12,22615,136397,7,4,6,0.0,0.0,40334.0,689.0,12.0,57,45,0.21052631578947367,5.673,4.515,0.33118129798450313,3,1
13,900,813,208,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Lotus F1,2014-03-16,1,29,22847,118825,21,15,16,0.0,0.0,21493.0,1579.3333333333285,29.0,57,28,0.5087719298245614,7.651,15.606,0.1758127708776256,6,0
14,900,815,10,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Force India,2014-03-16,1,1,25541,156707,16,18,10,0.0,0.0,0.0,0.0,1.0,57,56,0.017543859649122806,25.912,5.187,0.19878736762883778,-2,0
15,900,815,10,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Force India,2014-03-16,2,11,22497,129463,16,17,10,0.0,0.0,33430.0,567.6666666666715,10.0,57,46,0.19298245614035087,1.575,180.0,0.3938743764415598,-1,0
16,900,815,10,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Force India,2014-03-16,3,32,22526,115468,16,12,10,0.0,0.0,20330.0,1887.6666666666715,21.0,57,25,0.5614035087719298,19.454,6.379,0.18440991074634527,4,0
17,900,817,9,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Red Bull,2014-03-16,1,12,22994,135227,2,2,22,0.0,0.0,40182.0,436.3333333333285,12.0,57,45,0.21052631578947367,8.677,7.875,0.21601386764318473,0,1
18,900,817,9,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Red Bull,2014-03-16,2,36,22427,113313,2,3,22,0.0,0.0,19497.0,1504.0,24.0,57,21,0.631578947368421,12.459,15.898,0.1334783261088891,-1,0
20,900,818,5,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Toro Rosso,2014-03-16,2,33,22978,115005,6,9,8,0.0,0.0,20251.0,1103.3333333333285,21.0,57,24,0.5789473684210527,2.456,1.085,0.7689681588062883,-3,0
21,900,820,206,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Marussia,2014-03-16,1,24,24209,119399,17,16,13,0.0,0.0,20839.0,723.0,24.0,57,33,0.42105263157894735,30.593,4.123,0.22685070736599186,1,0
22,900,820,206,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Marussia,2014-03-16,2,41,23493,119123,17,15,13,0.0,0.0,22102.0,1850.3333333333285,17.0,57,16,0.7192982456140351,72.175,180.0,0.019190731369399402,2,0
23,900,821,15,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sauber,2014-03-16,1,1,32657,161894,20,19,12,0.0,0.0,0.0,0.0,1.0,57,56,0.017543859649122806,5.187,180.0,0.1671540844418925,1,0
24,900,821,15,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Sauber,2014-03-16,2,30,23797,117089,20,14,12,0.0,0.0,21159.0,1554.0,29.0,57,27,0.5263157894736842,5.811,21.552,0.19116328369133898,6,0
25,900,822,3,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Williams,2014-03-16,1,10,34921,156286,15,16,5,0.0,0.0,61361.0,830.0,10.0,57,47,0.17543859649122806,5.033,5.411,0.32173692018806876,-1,0
26,900,822,3,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Williams,2014-03-16,2,36,23117,115054,15,8,5,0.0,0.0,20416.0,601.6666666666715,26.0,57,21,0.631578947368421,0.777,0.938,1.078742073496164,7,0
27,900,824,206,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Marussia,2014-03-16,1,20,23821,118244,18,18,14,0.0,0.0,20741.0,332.0,20.0,57,37,0.3508771929824561,180.0,,,0,0
28,900,824,206,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Marussia,2014-03-16,2,35,22656,117075,18,16,14,0.0,0.0,20855.0,906.0,15.0,57,22,0.6140350877192983,180.0,,,2,0
29,900,825,1,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,McLaren,2014-03-16,1,12,23150,136538,4,3,2,0.0,0.0,41092.0,383.6666666666715,12.0,57,45,0.21052631578947367,7.875,5.673,0.262533691584544,1,1
32,900,826,5,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Toro Rosso,2014-03-16,2,36,23920,115843,8,10,9,0.0,0.0,20651.0,237.0,24.0,57,21,0.631578947368421,3.522,17.469,0.2752858711642965,-2,0
33,900,828,207,1,2014,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Caterham,2014-03-16,1,23,23238,121336,19,17,17,0.0,0.0,23007.0,591.3333333333285,23.0,57,34,0.40350877192982454,20.157,180.0,0.05279054226792224,2,0
34,901,1,131,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Mercedes,2014-03-30,1,15,24604,111236,1,1,1,0.0,25.0,4188.0,752.0,15.0,56,41,0.26785714285714285,,18.352,,0,0
35,901,1,131,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Mercedes,2014-03-30,2,33,25296,109800,1,1,1,0.0,25.0,3610.0,560.0,18.0,56,23,0.5892857142857143,,28.591,,0,0
36,901,1,131,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Mercedes,2014-03-30,3,51,24484,108975,1,1,1,0.0,25.0,4646.0,1827.6666666666715,18.0,56,5,0.9107142857142857,,32.315,,0,0
37,901,3,131,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Mercedes,2014-03-30,1,14,24723,111764,3,2,2,25.0,25.0,4443.0,519.0,14.0,56,42,0.25,10.448,9.879,0.17927171570073683,1,0
38,901,3,131,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Mercedes,2014-03-30,2,32,25287,111110,3,2,2,25.0,25.0,4760.0,643.0,18.0,56,24,0.5714285714285714,15.163,15.448,0.12266736777638124,1,0
39,901,3,131,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Mercedes,2014-03-30,3,50,24654,109983,3,2,2,25.0,25.0,5187.0,1546.0,18.0,56,6,0.8928571428571429,17.603,27.584,0.08873937750892268,1,0
40,901,4,6,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Ferrari,2014-03-30,1,11,24466,112322,4,6,4,12.0,18.0,4183.0,918.6666666666715,11.0,56,45,0.19642857142857142,1.644,5.643,0.5287492231309197,-2,0
41,901,4,6,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Ferrari,2014-03-30,2,27,24222,111206,4,5,4,12.0,18.0,4079.0,684.3333333333285,16.0,56,29,0.48214285714285715,9.163,0.076,1.0277641726109763,-1,0
42,901,4,6,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Ferrari,2014-03-30,3,42,24641,111264,4,4,4,12.0,18.0,5234.0,718.0,15.0,56,14,0.75,22.406,3.659,0.25736242224724964,0,0
43,901,8,6,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Ferrari,2014-03-30,1,2,26399,150743,6,20,12,6.0,18.0,32622.0,0.0,2.0,56,54,0.03571428571428571,25.758,83.513,0.049204500039071834,-14,0
44,901,8,6,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Ferrari,2014-03-30,2,18,24417,113850,6,18,12,6.0,18.0,6074.0,2690.6666666666715,16.0,56,38,0.32142857142857145,2.697,50.3,0.2899827635388474,-12,0
46,901,13,3,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Williams,2014-03-30,1,12,24637,112963,13,8,7,0.0,10.0,3973.0,336.3333333333285,12.0,56,44,0.21428571428571427,2.521,1.324,0.714302823335375,5,0
47,901,13,3,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Williams,2014-03-30,2,27,24577,111871,13,7,7,0.0,10.0,4742.0,1485.3333333333285,15.0,56,29,0.48214285714285715,24.597,1.51,0.4374734526752155,6,0
48,901,13,3,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Williams,2014-03-30,3,42,24526,110227,13,6,7,0.0,10.0,3999.0,943.3333333333285,15.0,56,14,0.75,27.153,0.485,0.7089208666305247,7,0
49,901,16,15,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Sauber,2014-03-30,1,11,25998,113311,17,11,18,0.0,0.0,3508.0,623.3333333333285,11.0,56,45,0.19642857142857142,5.275,1.421,0.5724150074629198,6,0
51,901,18,1,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,McLaren,2014-03-30,1,13,24841,113209,10,5,6,15.0,33.0,4664.0,1177.0,13.0,56,43,0.23214285714285715,13.004,2.865,0.33014038125495837,5,0
52,901,18,1,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,McLaren,2014-03-30,2,25,24524,111808,10,8,6,15.0,33.0,4441.0,1028.6666666666715,12.0,56,31,0.44642857142857145,1.244,4.882,0.6156429991860118,2,0
53,901,18,1,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,McLaren,2014-03-30,3,39,25028,110530,10,8,6,15.0,33.0,3639.0,596.0,14.0,56,17,0.6964285714285714,1.822,2.746,0.6213100257567439,2,0
54,901,20,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,1,13,24432,112295,2,3,3,0.0,0.0,4261.0,384.0,13.0,56,43,0.23214285714285715,9.777,3.202,0.33077211472932044,-1,0
55,901,20,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,2,31,24728,110978,2,3,3,0.0,0.0,4644.0,672.0,18.0,56,25,0.5535714285714286,7.605,11.656,0.19522541138652372,-1,0
56,901,20,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,3,49,25186,109976,2,3,3,0.0,0.0,5197.0,1425.3333333333285,18.0,56,7,0.875,11.547,23.548,0.12043684298447321,-1,0
57,901,154,208,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Lotus F1,2014-03-30,1,12,25046,114441,15,10,11,0.0,0.0,4634.0,226.66666666667152,12.0,56,44,0.21428571428571427,7.442,2.429,0.41008555522599477,5,0
58,901,154,208,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Lotus F1,2014-03-30,2,25,25596,112563,15,10,11,0.0,0.0,4331.0,542.6666666666715,13.0,56,31,0.44642857142857145,15.352,12.629,0.13452755355471863,5,0
59,901,154,208,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Lotus F1,2014-03-30,3,40,25735,111773,15,10,11,0.0,0.0,4636.0,984.0,15.0,56,16,0.7142857142857143,15.038,9.028,0.16207269601469543,5,0
60,901,155,207,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Caterham,2014-03-30,1,15,27124,115461,20,10,13,0.0,0.0,5287.0,300.6666666666715,15.0,56,41,0.26785714285714285,2.238,2.721,0.5775775737558844,10,0
61,901,155,207,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Caterham,2014-03-30,2,31,26505,115262,20,13,13,0.0,0.0,7362.0,2160.6666666666715,16.0,56,25,0.5535714285714286,7.381,4.429,0.3035134884053562,7,0
62,901,807,10,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Force India,2014-03-30,1,16,25336,113362,7,2,5,8.0,9.0,4762.0,257.3333333333285,16.0,56,40,0.2857142857142857,5.139,3.293,0.39583031916817046,5,0
63,901,807,10,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Force India,2014-03-30,2,34,24887,111383,7,4,5,8.0,9.0,4871.0,954.0,18.0,56,22,0.6071428571428571,1.912,6.407,0.4784140188149909,3,0
65,901,817,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,2,28,24775,110874,5,4,16,0.0,0.0,3992.0,521.0,16.0,56,28,0.5,9.926,5.418,0.2473365825921935,1,0
66,901,817,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,3,40,109329,109614,5,5,16,0.0,0.0,3783.0,809.6666666666715,12.0,56,16,0.7142857142857143,1.518,7.538,0.5142640358823825,0,0
67,901,817,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,4,42,34697,137263,5,14,16,0.0,0.0,31432.0,36948.0,2.0,56,14,0.75,29.198,16.16,0.09138983408802602,-9,0
68,901,817,9,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Red Bull,2014-03-30,5,44,34480,110765,5,16,16,0.0,0.0,4934.0,55513.33333333334,2.0,56,12,0.7857142857142857,1.328,,,-11,0
69,901,818,5,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Toro Rosso,2014-03-30,1,2,45629,116550,9,18,19,4.0,6.0,-8253.0,0.0,2.0,56,54,0.03571428571428571,3.552,1.753,0.5829237572432566,-9,0
70,901,818,5,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Toro Rosso,2014-03-30,2,17,26598,122870,9,19,19,4.0,6.0,14343.0,1893.3333333333285,15.0,56,39,0.30357142857142855,11.625,,,-10,0
74,901,821,15,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Sauber,2014-03-30,1,10,29420,114083,12,13,17,0.0,0.0,4124.0,267.0,10.0,56,46,0.17857142857142858,1.535,2.615,0.6711024904449736,-1,0
75,901,821,15,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Sauber,2014-03-30,2,23,26325,113775,12,13,17,0.0,0.0,5235.0,1272.0,13.0,56,33,0.4107142857142857,7.358,0.769,0.6849369732184029,-1,0
76,901,822,3,2,2014,2,Malaysian Grand Prix,Sepang International Circuit,Williams,2014-03-30,1,14,25020,115887,18,7,8,10.0,10.0,6663.0,152.66666666667152,14.0,56,42,0.25,5.132,8.934,0.2637433151428259,11,0
